habitat,slope
bedrock,-2.6995194890853975
bedrock,-2.6403991487058907
bedrock,-3.3002238324949444
bedrock,-3.286550956493051
bedrock,-2.637860356316702
bedrock,-3.3920744634606184
bedrock,-2.881695505786138
bedrock,-3.4966738293474777
bedrock,-3.357476176245839
bedrock,-2.936392315917415
bedrock,-3.1875532642502766
bedrock,-2.933144785561144
bedrock,-3.754715856513825
bedrock,-3.4163812796319397
bedrock,-2.7434274885348837
bedrock,-2.863692711562019
bedrock,-3.582214653044284
bedrock,-3.531668878382732
boulder,-3.5116194571854087
boulder,-3.2098079844273295
boulder,-3.0937502509979056
boulder,-2.850098332808792
boulder,-2.7889917501890693
boulder,-4.079209495872808
boulder,-3.601201557000837
boulder,-3.0808848788865544
boulder,-3.612214605689787
boulder,-4.1974788191333054
boulder,-4.395231346932068
boulder,-4.993432466242935
boulder,-3.658054946345912
boulder,-3.7117340465189597
boulder,-3.0850419976213193
boulder,-3.7480691056624766
boulder,-3.3440986836023003
boulder,-3.1630378992414183
boulder,-2.8793491851443687
boulder,-3.408706049437704
boulder,-3.5646358212383635
boulder,-4.277934396372676
boulder,-3.5233409776783615
boulder,-3.4656482460808777
boulder,-3.4956285743226387
boulder,-4.086435722293642
boulder,-3.0970658782374514
boulder,-3.448675734170363
boulder,-2.843665475195809
boulder,-2.826010466539983
boulder,-3.6375903911883594
boulder,-2.792741111518861
boulder,-3.731218992098162
boulder,-3.130654635843775
boulder,-3.241279340832352
boulder,-3.2136006947334588
boulder,-2.9926617928261883
boulder,-3.8146817658978818
boulder,-2.8129297587715096
boulder,-2.9584614684949386
boulder,-3.1175346272957567
boulder,-3.5367270589506576
boulder,-3.322690044020067
boulder,-2.9715926257665277
boulder,-3.16957927873192
boulder,-3.027034980763708
boulder,-3.092446669412167
boulder,-3.3894169302379398
boulder,-2.91080861404742
boulder,-4.416861493599636
boulder,-2.840608218058824
boulder,-3.0066604967443453
boulder,-3.018708410263911
boulder,-3.7133717228689314
boulder,-2.5493275065146808
boulder,-3.8884043622707627
boulder,-3.184089535695597
boulder,-3.2719622511745863
boulder,-3.845500530182962
boulder,-3.47822607233403
boulder,-3.8592675628824233
boulder,-3.0387644485916865
boulder,-3.4736050246898307
boulder,-3.2433161471086853
boulder,-3.674935070630713
boulder,-3.3481506303734507
boulder,-2.985842662569322
boulder,-3.220450912215404
boulder,-4.116929042676849
boulder,-2.899851315302667
boulder,-2.687930478552391
boulder,-2.804165584994261
boulder,-3.1226418719340674
boulder,-3.233619090127923
boulder,-2.869301639247622
boulder,-2.4998190707698185
boulder,-2.5368590949247922
boulder,-2.906185799868374
boulder,-3.9739958907410102
boulder,-3.936045322013496
boulder,-3.9981414818932604
boulder,-2.513824335743864
boulder,-3.3983007829682386
boulder,-2.9970549559506394
boulder,-3.3747519487202116
boulder,-3.416283892996525
boulder,-3.610167697103267
boulder,-3.7082694536903213
boulder,-3.5846571405649446
boulder,-2.8642214185044574
boulder,-2.641581584525178
boulder,-3.5625239568640965
boulder,-3.6123578978168545
boulder,-3.078496091581853
boulder,-2.773896296912355
boulder,-3.63496201289078
boulder,-2.48641948561685
boulder,-2.526099695868999
boulder,-2.8448582326587544
boulder,-2.761838631826262
boulder,-2.931089114003842
boulder,-2.8706985031556256
boulder,-2.351552860303243
boulder,-3.223600387431439
boulder,-3.1550217884579816
boulder,-2.556039521618533
boulder,-3.692336725758961
boulder,-3.5814397030083365
boulder,-4.117416612303284
boulder,-3.2704572052805236
boulder,-3.9211641797281103
boulder,-2.8721011914177628
boulder,-3.7702338138895923
boulder,-2.9210887293217795
boulder,-3.9178094671705583
boulder,-2.8313255208271193
boulder,-2.7215564762157625
boulder,-2.612479510149036
boulder,-3.8052922776456883
boulder,-3.519128529392703
boulder,-3.192897204434259
boulder,-2.9324196032749006
boulder,-3.098460157806268
boulder,-3.3069219333425335
boulder,-3.647038738236939
boulder,-3.344333616709517
boulder,-3.6701814575506466
boulder,-3.8708714152197636
boulder,-2.8041903016877963
boulder,-2.588132906640078
boulder,-2.5680754383931648
boulder,-4.084339195780927
boulder,-3.337710315742194
boulder,-4.132031003597593
boulder,-3.2679985957976077
boulder,-3.256274730480067
boulder,-3.525044693310265
boulder,-3.891966020822549
boulder,-3.615922387313449
boulder,-2.664637020248682
boulder,-2.470836662196317
boulder,-2.439992742649664
boulder,-2.7456783480355584
boulder,-3.471712073038129
boulder,-3.974147018118801
boulder,-3.2051557599267593
boulder,-2.706458539371132
boulder,-2.3657984167889214
boulder,-3.266239513428054
boulder,-3.0853071964990106
boulder,-3.388562748307869
boulder,-3.667884067577777
boulder,-2.766048197492392
boulder,-2.2370007134311796
boulder,-3.0610063842487456
